id|location|neighborhood|net_aff_units|net_units
0|(37.7203939917, -122.452521)|Ocean View|0|1
1|(37.7744289168, -122.421110)|Downtown/Civic Center|5|35
2|(37.7692014331, -122.403473)|Soma|0|560
3|(37.7507228458, -122.414398)|Mission|0|1
4|(37.7810723620, -122.456522)|Inner Richmond|0|13
5|(37.7316033454, -122.466341)|West of Twin Peaks|0|1
6|(37.7285638384, -122.432103)|Outer Mission|0|2
7|(37.7647823807, -122.394109)|Potrero Hill|5|12
8|(37.7190448298, -122.389037)|Bayview|0|1
9|(37.7536194639, -122.394042)|Potrero Hill|3|28
10|(37.7666898720, -122.397182)|Soma|94|393
11|(37.7818037359, -122.415897)|Downtown/Civic Center|10|85
12|(37.7117660653, -122.405831)|Visitacion Valley|0|3
13|(37.7652324781, -122.452420)|Haight Ashbury|0|4
14|(37.7185391968, -122.388233)|Bayview|0|1
15|(37.7568322350, -122.401149)|Potrero Hill|0|2
16|(37.7567530763, -122.402460)|Potrero Hill|0|1
17|(37.7720172859, -122.440249)|Haight Ashbury|0|1
18|(37.7972167593, -122.413811)|Russian Hill|0|6
19|(37.7529043718, -122.393348)|Potrero Hill|0|1
20|(37.7818834810, -122.411323)|Downtown/Civic Center|0|186
21|(37.7090593769, -122.423833)|Crocker Amazon|0|2
22|(37.7963705567, -122.412263)|Nob Hill|0|6
23|(37.7864341618, -122.420065)|Downtown/Civic Center|0|9
24|(37.7805850084, -122.409786)|Soma|83|83
25|(37.7532771829, -122.394009)|Potrero Hill|0|2
26|(37.7584373354, -122.388988)|Potrero Hill|0|2
27|(37.7866015637, -122.419640)|Downtown/Civic Center|0|1
28|(37.7541910458, -122.398956)|Potrero Hill|0|1
29|(37.7337909400, -122.417782)|Bernal Heights|0|2
30|(37.7954586092, -122.412286)|Nob Hill|0|1
31|(37.7559439906, -122.421318)|Mission|0|15
32|(37.7636922120, -122.446738)|Haight Ashbury|0|1
33|(37.7530033585, -122.393982)|Potrero Hill|0|2
34|(37.7191086990, -122.389150)|Bayview|0|1
35|(37.7817990067, -122.411742)|Downtown/Civic Center|0|304
36|(37.7806442145, -122.411615)|Soma|0|90
37|(37.7561577623, -122.402056)|Potrero Hill|0|1
38|(37.7282105051, -122.398218)|Bayview|0|1
39|(37.7193339273, -122.392284)|Bayview|0|1
40|(37.7803286884, -122.412014)|Soma|0|202
41|(37.7399966963, -122.422307)|Bernal Heights|0|1
42|(37.7376079744, -122.437044)|Glen Park|0|1
43|(37.7349519249, -122.397981)|Bayview|0|1
44|(37.7162143772, -122.406088)|Visitacion Valley|0|1
45|(37.7803534879, -122.429509)|Western Addition|98|98
46|(37.7544079493, -122.406811)|Mission|0|3
47|(37.7540269229, -122.408580)|Mission|0|1
48|(37.7540362493, -122.406083)|Mission|0|1
49|-|Soma|0|1
50|(37.7232681294, -122.454562)|Ocean View|0|1
51|(37.7859109754, -122.470750)|Inner Richmond|0|1
52|(37.7268601150, -122.415848)|Excelsior|0|1
53|(37.7721654228, -122.439365)|Haight Ashbury|0|1
